"","Name","Position","Number","Speech","Day","Time","Title","Link","X","Category","EndTime","X.1","X.2","Rep","Dem","SenateRep","HORRep","Unemployment","FedFunds","Number.1","ChangeVix","ChangeSP"
"69","Obama","President","72",0.08948,"X8.31.13","1:52","statement on syria","http://www.whitehouse.gov/the-press-office/2013/08/31/statement-president-syria","","x","",NA,NA,0,1,0.45,0.537931034,7.2,0.07,"72",NA,NA
"70","Obama","President","73",0.11607,"X8.17.13","6:00","adress on the affordable care act","http://www.whitehouse.gov/the-press-office/2013/08/17/weekly-address-working-implement-affordable-care-act","","","adress",NA,NA,0,1,0.45,0.537931034,7.2,0.09,"73",NA,NA
"71","Obama","President","74,75",0.12592,"X8.15.13","10:30","remarks on egypt","http://www.whitehouse.gov/the-press-office/2013/08/15/remarks-president-situation-egypt","x","","",NA,NA,0,1,0.45,0.537931034,7.2,0.08,"74,75",0.0435714285714285,-0.00351506499271188
"72","Obama","President","76",0.11075,"X7.30.13","2:00","remarks on jobs for the middle class","http://www.whitehouse.gov/the-press-office/2013/07/30/remarks-president-jobs-middle-class-073013","x","","",NA,NA,0,1,0.45,0.537931034,7.3,0.09,"76",-0.00127952989123987,-0.00127952989123987
"73","Obama","President","77",0.1199,"X7.25.13","2:45","remarks on economy","http://www.whitehouse.gov/the-press-office/2013/07/25/remarks-president-economy-jacksonville-fl","x","","",NA,NA,0,1,0.45,0.537931034,7.3,0.09,"77",0.00153466930542877,0.00153466930542877
"74","Obama","President","78",0.11351,"X7.24.13","1:13","remarks on economy","http://www.whitehouse.gov/the-press-office/2013/07/24/remarks-president-economy-knox-college-galesburg-il","x","","",NA,NA,0,1,0.45,0.537931034,7.3,0.09,"78",0.000688517195123447,0.000688517195123447
"75","Obama","President","79",0.2024,"X7.18.13","11:30","remarks on affordable care act","http://www.whitehouse.gov/the-press-office/2013/07/18/remarks-president-affordable-care-act","x","","",NA,NA,0,1,0.45,0.537931034,7.3,0.09,"79",0.000183534036683093,0.000183534036683093
"76","Bush","President","86",0.1875,"X1.4.08","1:47","","President Meets with Working Group on Financial Markets","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080104-4.html","Economy","1:50",NA,NA,1,0,0.49,0.455172414,5,4.18,"86",-0.00791347187765744,-0.00791347187765744
"77","Bush","President","87",0.134,"X1.7.08","2:18","","President Bush Discusses Economy in Chicago, Illinois","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080107-7.html","Economy","2:40",NA,NA,1,0,0.49,0.455172414,5,4.27,"87",-0.00266907047331983,-0.00266907047331983
"78","Bush","President","88",0.13928,"X1.18.08","11:34","","President Bush Discusses Economy, Growth Package","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080118-1.html","Economy","11:38",NA,NA,1,0,0.49,0.455172414,5,4.17,"88",0.000944151547653217,0.000944151547653217
