Name,Position,Number,Speech,Day,Time,Title,Link,,Category,EndTime,,,Rep,Dem,SenateRep,HORRep,Unemployment,FedFunds,Number
Bush,President,88,0.13928,1/18/08,11:34,,"President Bush Discusses Economy, Growth Package",http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080118-1.html,Economy,11:38,,,1,0,0.49,0.455172414,5.0,4.17,88
Bush,President,89,0.1131298,1/18/08,12:14,,Press Briefing by Treasury Secretary Henry Paulson and Chairman of the Council of Economic Advisors Ed Lazear,http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080118-6.html,Economy,12:42,,,1,0,0.49,0.455172414,5.0,4.17,89
Bush,President,90,0.20312,1/18/08,1:55,,"President Bush Tours Factory, Discusses Economy",http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080118-7.html,Economy,1:59,,,1,0,0.49,0.455172414,5.0,4.17,90
Bush,President,91,0.18125,1/22/08,2:43,,President Bush Meets with Bicameral and Bipartisan Members of Congress,http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080122-5.html,Economy,2:35,,,1,0,0.49,0.455172414,5.0,3.68,91
Bush,President,92,0.17968,1/23/08,1:45,,President Bush Participates in Briefing with Mayors on Free Trade Agreements,http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080123-8.html,Economy,1:48,,,1,0,0.49,0.455172414,5.0,3.43,92
Bush,President,93,0.12019,1/24/08,2:31,,President Bush Discusses the Bipartisan Economic Growth Agreement,http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080124-3.html,Economy,2:34,,,1,0,0.49,0.455172414,5.0,3.47,93
Bush,President,94,0.16831,1/25/08,12:47,,President Bush Attends 2008 Congress of Tomorrow Luncheon,http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080125-3.html,Economy,12:51,,,1,0,0.49,0.455172414,5.0,3.6,94
Bush,President,95,0.01302,1/29/08,3:38,,President Bush Signs Executive Order Protecting American Taxpayers from Government Spending on Wasteful Earmarks,http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080129-3.html,Economy,3:41,,,1,0,0.49,0.455172414,5.0,3.47,95
Bush,President,96,0.09697,1/30/08,2:51,,President Bush Discusses Trade and Economy,http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080130-6.html,Economy,3:08,,,1,0,0.49,0.455172414,5.0,3.26,96
Bush,President,97,0.113537,2/1/08,11:47,,President Bush Discusses Economy in Kansas City,http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080201-7.html,Economy,12:00,,,1,0,0.49,0.455172414,4.9,3.12,97
Bush,President,98,0.24431,2/4/08,10:57,,"President Bush Meets with Cabinet, Discusses Budget",http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080204-1.html,Economy,11:01,,,1,0,0.49,0.455172414,4.9,2.82,98
Bush,President,99,0.019736,2/11/08,1:07,,President Bush Signs 2008 Economic Report,http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080211-3.html,Economy,1:09,,,1,0,0.49,0.455172414,4.9,2.88,99
Bush,President,100,0.1846,2/13/08,1:59,,"President Bush Signs H.R. 5140, the Economic Stimulus Act of 2008",http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080213-3.html,Economy,2:05,,,1,0,0.49,0.455172414,4.9,3.02,100
Bush,President,101,0.0381944,2/26/08,2:11,,President Bush Meets with Former Cabinet Secretaries and Senior Government Officials on Free Trade Agreements,http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080226-6.html,Economy,2:13,,,1,0,0.49,0.455172414,4.9,2.85,101
Bush,President,102,0.08333,2/28/08,11:41,,President Bush Meets with His Economic Team,http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080228-3.html,Economy,11:44,,,1,0,0.49,0.455172414,4.9,3.06,102
Bush,President,103,0.32986,3/7/08,1:55,,President Bush Discusses Economy,http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080307-4.html,Economy,1:58,,,1,0,0.49,0.455172414,5.1,2.96,103
Bush,President,104,0.08277,3/14/08,11:20,,President Bush Visits the Economic Club of New York,http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080314-5.html,Economy,11:59,,,1,0,0.49,0.455172414,5.1,2.99,104
Bush,President,105,0.045,3/17/08,9:40,,President Bush Discusses Economy,http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080317-1.html,Economy,9:41,,,1,0,0.49,0.455172414,5.1,2.69,105
Bush,President,106,0.1325,3/18/08,2:13,,"President Bush Visits Jacksonville, Florida, Discusses Trade Policy",http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080318-4.html,Economy,2:41,,,1,0,0.49,0.455172414,5.1,2.16,106
Bush,President,107,0.2161,3/26/08,12:25,,"President Bush Visits ColorCraft of Virginia, Inc., Discusses Stimulus Package, Economy",http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080326-1.html,Economy,12:30,,,1,0,0.49,0.455172414,5.1,2.3,107
Bush,President,108,0.08295,3/28/08,3:30,,"President Bush Discusses Housing, Economy",http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080328-9.html,Economy,3:38,,,1,0,0.49,0.455172414,5.1,2.09,108
Bush,President,109,-0.01666,4/7/08,1:46,,President Bush Meets with Small and Mid-Size Business Owners to Discuss Economic Stimulus Package,http://georgewbush-whitehouse.archives.gov/news/releases/2008/04/20080407-6.html,Economy,1:49,,,1,0,0.49,0.455172414,5.0,2.24,109
Bush,President,110,0.125,4/14/08,10:14,,"President Bush Meets with Cabinet, Discusses Economy, Colombia Free Trade Agreement",http://georgewbush-whitehouse.archives.gov/news/releases/2008/04/20080414.html,Economy,10:17,,,1,0,0.49,0.455172414,5.0,2.32,110
